,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,sector,Study Room,Servant Room,Pooja Room,Others,Store Room,possession_category,furnishingType,super_builtup_area,builtup_area,carpet_area,luxury_score,area_to_bedroom_ratio
350,house,IFFCO Nagar and 17B RWA,2.98,20565.90752242926,1449.0,Plot area 161(134.62 sq.m.),6.0,6.0,3+,3.0,East,sector 17,1.0,0.0,1.0,0.0,0.0,relatively new,0.0,,1449.0,,103.0,241.5
351,house,Huda Floor,4.0,22222.222222222223,1800.0,Plot area 1800(167.23 sq.m.)Built Up area: 4800 sq.ft. (445.93 sq.m.)Carpet area: 3800 sq.ft. (353.03 sq.m.),9.0,9.0,3+,2.0,East,sector 38,0.0,0.0,1.0,0.0,1.0,relatively new,2.0,,1800.0,3800.0,193.0,200.0
355,house,,5.0,21123.78538234052,2367.0,Plot area 263(219.9 sq.m.),9.0,9.0,3+,3.0,South-East,sector 40,0.0,0.0,1.0,0.0,0.0,relatively new,1.0,,2367.0,,75.0,263.0
359,house,,3.55,24499.65493443754,1449.0,Plot area 161(134.62 sq.m.),5.0,4.0,3+,3.0,North-West,sector 46,0.0,1.0,0.0,0.0,0.0,moderately old,1.0,,1449.0,,73.0,289.8
360,house,,3.6,24844.72049689441,1449.0,Plot area 161(134.62 sq.m.),5.0,5.0,3+,3.0,South-East,sector 46,0.0,1.0,0.0,0.0,0.0,moderately old,1.0,,1449.0,,84.0,289.8
383,flat,The Serenas,0.42,7909.604519774011,531.0,Carpet area: 531 (49.33 sq.m.),2.0,2.0,1,3.0,,sector 36,,,,,,,0.0,,,530.9831869999999,0.0,265.5
416,flat,Ramsons Kshitij3.7,0.29,5178.571428571428,560.0,Super Built up area 560(52.03 sq.m.),2.0,2.0,2,14.0,,sector 95,,,,,,relatively new,0.0,560.0,,,65.0,280.0
419,flat,Pareena Laxmi Apartments3.6,0.3175,5521.739130434783,575.0,Super Built up area 575(53.42 sq.m.)Carpet area: 570.17 sq.ft. (52.97 sq.m.),2.0,2.0,1,2.0,,sector 99a,,,,,,new,0.0,575.0,,570.17,65.0,287.5
447,flat,Pareena Laxmi Apartments3.6,0.32,6106.8702290076335,524.0,Super Built up area 524(48.68 sq.m.)Carpet area: 424.8 sq.ft. (39.47 sq.m.),2.0,2.0,2,2.0,,sector 99a,,,,,,new,0.0,524.0,,424.8,63.0,262.0
448,flat,Pyramid Elite,0.45,7745.26678141136,581.0,Carpet area: 581.41 (54.01 sq.m.),2.0,2.0,1,4.0,,sector 86,,,,,,new,0.0,,,581.3582389999999,96.0,290.5
454,flat,Czar Mahira Homes 63A,0.42,7407.407407407408,567.0,Carpet area: 567 (52.68 sq.m.),3.0,2.0,2,,,sector 63a,,,,,,,0.0,,,567.042252,0.0,189.0
481,flat,Pyramid Urban Homes 2,0.5,9615.384615384615,520.0,Carpet area: 520 (48.31 sq.m.),2.0,2.0,1,10.0,,sector 86,,,,,,relatively new,0.0,,,520.004009,22.0,260.0
485,flat,Signature Signum 95A,0.4,7782.101167315175,514.0,Carpet area: 514 (47.75 sq.m.),2.0,2.0,2,3.0,East,sector 95,,,,,,new,1.0,,,513.976225,51.0,257.0
518,flat,Supertech Basera,0.36,7643.3121019108285,471.0,Built Up area: 546 (50.73 sq.m.)Carpet area: 471 sq.ft. (43.76 sq.m.),2.0,2.0,1,4.0,,sector 79,,,,,,new,0.0,,546.052647,471.0,89.0,235.5
520,flat,M3M Soulitude,1.32,16923.076923076922,780.0,Carpet area: 780 (72.46 sq.m.),3.0,3.0,3,1.0,,sector 89,,,,,,new,0.0,,,779.9521939999998,73.0,260.0
531,flat,Zara Aavaas,0.4,7029.8769771529,569.0,Super Built up area 568.46(52.81 sq.m.),2.0,2.0,1,4.0,North,sector 104,,,,,,relatively new,0.0,568.0,,,59.0,284.5
546,flat,Pivotal Devaan,0.41,7032.590051457975,583.0,Super Built up area 583(54.16 sq.m.)Built Up area: 565 sq.ft. (52.49 sq.m.)Carpet area: 483 sq.ft. (44.87 sq.m.),2.0,2.0,2,10.0,East,sector 84,,,,,,new,1.0,583.0,565.0,483.0,30.0,291.5
826,flat,Signature Global Solera3.7,0.27,5521.472392638037,489.0,Carpet area: 489 (45.43 sq.m.),2.0,2.0,2,,North-East,sector 107,,,,,,relatively new,0.0,,,489.003977,69.0,244.5
827,flat,Signature Global Solera3.7,0.2775,5674.846625766872,489.0,Carpet area: 489 (45.43 sq.m.),2.0,2.0,2,6.0,West,sector 107,,,,,,relatively new,0.0,,,489.003977,69.0,244.5
882,flat,Emaar MGF Emerald Estate3.8,1.7,21013.59703337453,809.0,Super Built up area 1395(129.6 sq.m.)Carpet area: 809 sq.ft. (75.16 sq.m.),3.0,3.0,3,7.0,South-East,sector 65,1.0,0.0,0.0,0.0,0.0,relatively new,1.0,1395.0,,809.0,154.0,269.6666666666667
964,flat,Signature Global Solera3.7,0.5,7751.937984496124,645.0,Carpet area: 645 (59.92 sq.m.),3.0,2.0,2,6.0,South-East,sector 107,0.0,0.0,0.0,1.0,0.0,relatively new,0.0,,,644.972888,22.0,215.0
965,flat,Signature Global Solera3.7,0.52,8062.015503875969,645.0,Carpet area: 645 (59.92 sq.m.),3.0,2.0,2,5.0,East,sector 107,0.0,0.0,0.0,1.0,0.0,relatively new,0.0,,,644.972888,22.0,215.0
966,flat,Signature Global Solera3.7,0.28,5725.97137014315,489.0,Carpet area: 489 (45.43 sq.m.),2.0,2.0,2,6.0,West,sector 107,,,,,,relatively new,0.0,,,489.003977,69.0,244.5
967,flat,Signature Global Solera3.7,0.29,5930.470347648262,489.0,Carpet area: 489 (45.43 sq.m.),2.0,2.0,2,3.0,East,sector 107,,,,,,relatively new,0.0,,,489.003977,69.0,244.5
1029,flat,Prime Habitat,0.271,6049.107142857143,448.0,Carpet area: 448 (41.62 sq.m.),2.0,2.0,1,10.0,South,sector 99a,,,,,,relatively new,0.0,,,447.993518,89.0,224.0
1148,flat,Pyramid Urban Homes 2,0.415,8283.433133732535,501.0,Carpet area: 501 (46.54 sq.m.),2.0,2.0,1,7.0,West,sector 86,1.0,1.0,1.0,1.0,0.0,new,0.0,,,500.951906,56.0,250.5
1207,flat,Mapsko Mount Ville4.1,1.1,12731.481481481482,864.0,Super Built up area 1490(138.43 sq.m.)Carpet area: 863.91 sq.ft. (80.26 sq.m.),3.0,3.0,3,22.0,South-West,sector 79,1.0,0.0,1.0,0.0,0.0,relatively new,1.0,1490.0,,863.91,198.0,288.0
1214,flat,Mapsko Mount Ville4.1,1.2,13840.83044982699,867.0,Super Built up area 1510(140.28 sq.m.)Carpet area: 867.24 sq.ft. (80.57 sq.m.),3.0,3.0,3,18.0,North,sector 79,1.0,0.0,1.0,0.0,0.0,relatively new,1.0,1510.0,,867.24,207.0,289.0
1314,flat,Pivotal Devaan,0.35,6003.430531732419,583.0,Super Built up area 583(54.16 sq.m.),2.0,2.0,1,4.0,East,sector 84,,,,,,relatively new,0.0,583.0,,,44.0,291.5
1359,flat,Signature Global Solera3.7,0.5,7751.937984496124,645.0,Carpet area: 645 (59.92 sq.m.),3.0,2.0,2,6.0,North-East,sector 107,0.0,0.0,0.0,1.0,0.0,relatively new,0.0,,,644.972888,56.0,215.0
1362,flat,ROF Ananda,0.31,5646.630236794172,549.0,Carpet area: 549.16 (51.02 sq.m.),2.0,2.0,1,5.0,North,sector 95,0.0,0.0,1.0,0.0,0.0,relatively new,1.0,,,549.174178,98.0,274.5
1367,flat,Signature Global Solera3.7,0.285,5828.220858895705,489.0,Carpet area: 489 (45.43 sq.m.),2.0,2.0,2,,North-East,sector 107,,,,,,relatively new,0.0,,,489.003977,52.0,244.5
1368,flat,Signature Global Solera3.7,0.2775,5674.846625766872,489.0,Carpet area: 489 (45.43 sq.m.),2.0,2.0,2,11.0,North,sector 107,,,,,,relatively new,0.0,,,489.003977,44.0,244.5
1369,flat,Signature Global Solera3.7,0.275,5623.721881390593,489.0,Carpet area: 489 (45.43 sq.m.),2.0,2.0,2,14.0,North-West,sector 107,,,,,,relatively new,0.0,,,489.003977,53.0,244.5
1370,flat,Signature Global Solera3.7,0.28,5725.97137014315,489.0,Carpet area: 489 (45.43 sq.m.),2.0,2.0,2,10.0,South,sector 107,,,,,,relatively new,0.0,,,489.003977,53.0,244.5
