,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,sector,Study Room,Servant Room,Pooja Room,Others,Store Room,possession_category,furnishingType,super_builtup_area,builtup_area,carpet_area,luxury_score,area_to_bedroom_ratio
1002,flat,Ansal Maple Heights3.7,1.5,12658.227848101264,1185.0,Super Built up area 1400(130.06 sq.m.)Built Up area: 1385 sq.ft. (128.67 sq.m.)Carpet area: 1185 sq.ft. (110.09 sq.m.),0.0,3.0,3+,7.0,North-East,sector 43,0.0,0.0,0.0,0.0,1.0,old,1.0,1400.0,1385.0,1185.0,230.0,inf
1003,flat,Ireo Victory Valley4.1,3.05,16266.666666666666,1875.0,Super Built up area 2385(221.57 sq.m.)Built Up area: 2200 sq.ft. (204.39 sq.m.)Carpet area: 1875 sq.ft. (174.19 sq.m.),0.0,4.0,2,35.0,South-West,sector 67,1.0,1.0,0.0,0.0,0.0,relatively new,1.0,2385.0,2200.0,1875.0,221.0,inf
1004,flat,Ireo The Grand Arch4.0,3.83,21577.464788732395,1775.0,Super Built up area 2164(201.04 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1775 sq.ft. (164.9 sq.m.),0.0,4.0,2,10.0,North-East,sector 58,1.0,1.0,0.0,0.0,0.0,relatively new,1.0,2164.0,2000.0,1775.0,230.0,inf
1005,flat,M3M Skywalk,2.25,13636.363636363636,1650.0,Super Built up area 2038(189.34 sq.m.)Built Up area: 1938 sq.ft. (180.05 sq.m.)Carpet area: 1650 sq.ft. (153.29 sq.m.),0.0,3.0,2,9.0,South,sector 74,0.0,1.0,0.0,0.0,0.0,relatively new,1.0,2038.0,1938.0,1650.0,230.0,inf
1006,flat,Vatika Gurgaon 213.7,1.4,7179.48717948718,1950.0,Carpet area: 1950 (181.16 sq.m.),0.0,4.0,3,10.0,North-East,sector 83,0.0,1.0,0.0,0.0,0.0,relatively new,0.0,,,1949.988124,42.0,inf
1007,flat,Experion Windchants3.8,3.75,13383.297644539614,2802.0,Super Built up area 2802(260.31 sq.m.),0.0,5.0,3+,22.0,South-West,sector 112,0.0,1.0,0.0,0.0,0.0,relatively new,1.0,2802.0,,,56.0,inf
1008,flat,Capital Residences 360,1.51,7641.700404858299,1976.0,Super Built up area 1976(183.58 sq.m.),0.0,3.0,3,7.0,South-East,sector 70a,0.0,1.0,0.0,0.0,0.0,relatively new,0.0,1976.0,,,56.0,inf
1009,flat,Bestech Park View City4.1,2.7,11713.665943600869,2305.0,Super Built up area 2305(214.14 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),0.0,3.0,3+,7.0,North-East,sector 48,1.0,1.0,0.0,0.0,0.0,relatively new,1.0,2305.0,2000.0,1700.0,245.0,inf
1010,flat,La Vida by Tata Housing,3.35,12444.279346210997,2692.0,Carpet area: 2692 (250.09 sq.m.),0.0,4.0,3+,11.0,North-East,sector 113,1.0,1.0,0.0,0.0,0.0,relatively new,0.0,,,2691.943751,245.0,inf
1011,flat,Tulip Violet4.2,1.5,10714.285714285714,1400.0,Super Built up area 1578(146.6 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),0.0,3.0,2,8.0,North-East,sector 69,0.0,0.0,1.0,0.0,0.0,relatively new,1.0,1578.0,,1400.0,237.0,inf
1012,flat,Bestech Park View Grand Spa4.3,2.2,8270.676691729323,2660.0,Super Built up area 2660(247.12 sq.m.)Carpet area: 2300 sq.ft. (213.68 sq.m.),0.0,4.0,3+,8.0,East,sector 81,0.0,1.0,0.0,0.0,0.0,relatively new,1.0,2660.0,,2300.0,236.0,inf
1013,flat,DLF The Primus3.9,2.55,11218.653761548614,2273.0,Super Built up area 2273(211.17 sq.m.)Carpet area: 1340 sq.ft. (124.49 sq.m.),0.0,4.0,3+,14.0,South-West,sector 82a,,,,,,relatively new,2.0,2273.0,,1340.0,51.0,inf
1014,flat,Signature Global Synera3.4,0.45,7525.083612040134,598.0,Carpet area: 598 (55.56 sq.m.),0.0,2.0,2,6.0,North-East,sector 81,0.0,0.0,0.0,0.0,1.0,relatively new,1.0,,,598.042284,54.0,inf
1015,flat,Vatika Gurgaon 213.7,1.18,6801.152737752162,1735.0,Super Built up area 1735(161.19 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),0.0,3.0,2,14.0,North,sector 83,,,,,,relatively new,0.0,1735.0,,1500.0,33.0,inf
1016,flat,Alpha Corp GurgaonOne 844.0,0.85,6692.913385826771,1270.0,Super Built up area 1270(117.99 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.),0.0,2.0,3,6.0,West,sector 84,,,,,,relatively new,1.0,1270.0,,1050.0,35.0,inf
1017,flat,Alpha Corp GurgaonOne 844.0,1.49,7590.422822210901,1963.0,Super Built up area 1963(182.37 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),0.0,3.0,3,6.0,South-East,sector 84,0.0,1.0,0.0,0.0,0.0,relatively new,0.0,1963.0,,1700.0,35.0,inf
1018,flat,Parsvnath Exotica3.7,6.5,19174.041297935102,3390.0,Super Built up area 3390(314.94 sq.m.)Built Up area: 3000 sq.ft. (278.71 sq.m.)Carpet area: 2500 sq.ft. (232.26 sq.m.),0.0,5.0,3+,10.0,South,sector 53,1.0,1.0,1.0,0.0,0.0,relatively new,1.0,3390.0,3000.0,2500.0,237.0,inf
