property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,sector,Study Room,Servant Room,Pooja Room,Others,Store Room,possession_category,furnishingType,super_builtup_area,builtup_area,carpet_area,luxury_score
house,,7.25,29336.0,2471.0,Plot area 303(253.35 sq.m.),8.0,8.0,3+,0.0,North-East,sector 56,,,,,,moderately old,1,,303.0,,24
house,DLF Gardencity Enclave,1.3,11284.0,1152.0,Plot area 1152(107.02 sq.m.),3.0,2.0,1,3.0,,sector 93,,,,,,relatively new,0,,1152.0,,0
house,,3.75,11029.0,3400.0,Built Up area: 3400 (315.87 sq.m.)Carpet area: 1836 sq.ft. (170.57 sq.m.),5.0,5.0,3+,3.0,,sector 5,,,,,,,0,,3399.993093,1836,0
house,house number B-34,0.8,8888.0,900.0,Plot area 900(83.61 sq.m.)Built Up area: 900 sq.ft. (83.61 sq.m.),2.0,2.0,1,1.0,,sector 5,,,,,,old,0,,900.0,,0
house,,8.0,230547.0,347.0,Built Up area: 347 (32.24 sq.m.)Carpet area: 215 sq.ft. (19.97 sq.m.),10.0,10.0,3+,1.0,North,sector 38,,,,,,,0,,347.028136,215,0
house,ATS Tourmaline3.9 ★,1.87,8697.0,2150.0,Built Up area: 2150 (199.74 sq.m.),3.0,4.0,No,12.0,,sector 109,,,,,,,0,,2149.981386,,0
house,,6.5,21667.0,3000.0,Built Up area: 3000 (278.71 sq.m.),5.0,6.0,No,1.0,,sector 50,,,,,,,0,,3000.0065689999997,,0
house,,3.75,20425.0,1836.0,Plot area 204(170.57 sq.m.),4.0,4.0,3+,3.0,,sector 5,,,,,,old,1,,1836.0,,28
house,,,,,Built Up area: 800 (74.32 sq.m.),2.0,1.0,No,1.0,,sector 8,,,,,,,0,,799.973048,,0
house,,2.8,18667.0,1500.0,Built Up area: 1500 (139.35 sq.m.),4.0,4.0,No,2.0,,sector 55,,,,,,,0,,1499.949465,,0
house,,3.12,18889.0,1652.0,Plot area 183.5(153.43 sq.m.),4.0,2.0,1,1.0,,sector 5,,,,,,old,0,,1651.5,,0
house,,3.5,24306.0,1440.0,Carpet area: 160 (133.78 sq.m.),3.0,3.0,2,1.0,East,sector 38,,,,,,relatively new,0,,,1439.994542,0
house,DLF The Arbour,8.5,21519.0,3950.0,Built Up area: 3950 (366.97 sq.m.),4.0,4.0,3+,27.0,,sector 63,,,,,,,0,,3950.0283830000003,,0
house,,3.5,20323.0,1722.0,Plot area 160,3.0,2.0,2,1.0,East,sector 38,,,,,,moderately old,0,,1712.0,,0
house,Huda Plots,2.95,20359.0,1449.0,Plot area 161(134.62 sq.m.)Built Up area: 1000 sq.yards (836.13 sq.m.),2.0,2.0,2,1.0,North,sector 56,,,,,,moderately old,0,,1449.0,,31
house,,0.7,5833.0,1200.0,Built Up area: 1200 (111.48 sq.m.),3.0,2.0,2,1.0,,sector 105,,,,,,,0,,1199.959572,,0
house,Suncity Essel Towers4.2 ★,8.95,17900.0,5000.0,Plot area 5000(464.52 sq.m.),5.0,6.0,3+,4.0,,sector 28,,,,,,moderately old,0,,5000.0,,0
house,Anamika Enclave,6.0,14492.0,4140.0,Plot area 4140(384.62 sq.m.)Built Up area: 9000 sq.ft. (836.13 sq.m.),9.0,9.0,3+,3.0,North-West,sector 12,,,,,,old,0,,4140.0,,9
house,,2.5,13157.0,1900.0,Plot area 1900(176.52 sq.m.),5.0,5.0,3+,2.0,,sector 37d,,,,,,relatively new,0,,1900.0,,0
house,,8.0,9654.0,8287.0,Plot area 362(33.63 sq.m.)Built Up area: 8286 sq.ft. (769.79 sq.m.),10.0,10.0,3+,4.0,,sector 56,1.0,1.0,1.0,0.0,0.0,relatively new,2,,362.0,,141
house,,0.5,50000.0,100.0,Built Up area: 100 (9.29 sq.m.),2.0,2.0,No,1.0,,sector 105,,,,,,,0,,99.996631,,0
house,,1.8,7627.0,2360.0,Built Up area: 2360 (219.25 sq.m.),4.0,5.0,No,13.0,,sector 92,,,,,,,0,,2359.985075,,0
house,,1.7,5666.0,3000.0,Built Up area: 3000 (278.71 sq.m.)Carpet area: 2600 sq.ft. (241.55 sq.m.),4.0,4.0,3+,1.0,North-East,sector 108,,,,,,,0,,3000.0065689999997,2600,0
house,,1.55,6567.0,2360.0,Built Up area: 2360 (219.25 sq.m.),3.0,2.0,No,1.0,,sector 109,,,,,,,0,,2359.985075,,0
house,Vatika Sovereign Next,3.85,7500.0,5133.0,Built Up area: 5140 (477.52 sq.m.),5.0,6.0,3+,6.0,,sector 82a,,,,,,,0,,5139.977527999999,,0
house,,1.52,19869.0,765.0,Plot area 85(71.07 sq.m.)Built Up area: 105 sq.yards (87.79 sq.m.),2.0,2.0,1,1.0,South-East,sector 17a,,,,,,old,0,,765.0,,22
house,,5.15,14072.0,3660.0,Built Up area: 340,5.0,5.0,No,1.0,,sector 39,,,,,,relatively new,0,,3637.9999999999995,,0
house,Sector 14 RWA,6.5,26000.0,2500.0,Plot area 2500(232.26 sq.m.),5.0,5.0,No,4.0,,sector 14,,,,,,moderately old,0,,2500.0,,0
house,IFFCO Nagar and 17B RWA,3.5,24305.0,1440.0,Plot area 1440(133.78 sq.m.),6.0,5.0,3,3.0,East,sector 17,,,,,,old,0,,1440.0,,53
house,Bhim Garh Kheri,0.75,6410.0,1170.0,Plot area 130(108.7 sq.m.),4.0,2.0,2,2.0,West,sector 3,,,,,,old,0,,1170.0,,16
house,,3.5,133079.0,263.0,Plot area 263(24.43 sq.m.)Built Up area: 4800 sq.ft. (445.93 sq.m.)Carpet area: 4400 sq.ft. (408.77 sq.m.),8.0,8.0,3+,3.0,South-East,sector 12,1.0,1.0,1.0,0.0,0.0,relatively new,2,,263.0,4400,86
